Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
26.0,male,munich,Software Development,5.0,3.0,Senior,typescript,"Kotlin, Javascript / Typescript",80000.0,5000,75000.0,10000,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
26.0,male,berlin,Software Development,7.0,4.0,Senior,ruby,,80000.0,,82000.0,5000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
29.0,male,berlin,Software Development,12.0,6.0,Lead,javascript,"Javascript / Typescript, Docker",120000.0,120000,100000.0,100000,30,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,
28.0,male,berlin,Software Development,4.0,1.0,Junior,,,54000.0,,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
37.0,male,berlin,Software Development,17.0,6.0,Senior,c#,".NET, SQL, AWS, Docker",62000.0,,62000.0,,29,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
32.0,male,berlin,Operations & Support,5.0,1.0,Senior,aws,"Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000,76000.0,5000,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
37.0,male,berlin,Software Development,6.0,0.4,Middle,,,57000.0,,,,24,Full-time employee,Unlimited contract,English,11-50,Product,No,,
24.0,male,berlin,Software Development,5.0,1.0,Senior,,Javascript / Typescript,65000.0,,65000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,600
29.0,male,berlin,Software Development,8.0,2.0,Senior,php,"SQL, AWS, Docker",56000.0,,55000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,30.0,
35.0,male,berlin,Software Development,15.0,3.0,Lead,java,,95000.0,,90000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
32.0,female,hamburg,Data & AI,2.0,2.0,Junior,,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,,52500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
,male,berlin,Software Development,25.0,11.0,Senior,c++,"Python, C/C++, SQL",100000.0,101,80000.0,13000,24,Self-employed (freelancer),Temporary contract,English,11-50,Product,Yes,,
,,berlin,Software Development,,,Lead,,,90000.0,40000,,,,Full-time employee,Unlimited contract,English,1000+,,No,,1000
34.0,male,berlin,Software Development,14.0,5.0,Senior,,"PHP, Javascript / Typescript, AWS",70000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Startup,No,0.0,
28.0,male,berlin,Other Roles,11.0,2.0,Senior,,,75000.0,9400,66000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,
31.0,male,wolfsburg,Software Development,5.0,1.0,Senior,kotlin,,75000.0,2000,75000.0,2000,25,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
29.0,male,hamburg,Software Development,7.0,3.0,Middle,,"Go, Kubernetes, Docker",60350.0,,58000.0,500,31,Full-time employee,Unlimited contract,English,1000+,Product,i didn't but will be looking for new one because of covid,0.0,
41.0,male,berlin,Management & Leadership,18.0,2.0,Senior,,SQL,78000.0,,100000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
27.0,male,berlin,Software Development,8.0,3.0,Senior,,,60000.0,,55000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,
34.0,male,berlin,Software Development,11.0,5.0,Lead,,"Kotlin, Javascript / Typescript, AWS, Google Cloud, Kubernetes, Docker",80000.0,80000,75000.0,75000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
34.0,male,berlin,Operations & Support,13.0,5.0,Senior,,,103000.0,,90000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
34.0,male,berlin,Software Development,15.0,9.0,Lead,node.js,"Javascript / Typescript, SQL, Go, AWS, Kubernetes, Docker, Terraform",100000.0,,92000.0,7000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25.0,male,berlin,Software Development,5.0,2.0,Senior,,"Javascript / Typescript, AWS, Docker",65000.0,,,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
59.0,male,berlin,Software Development,30.0,30.0,Senior,,"Kotlin, Java / Scala, SQL",69000.0,,69000.0,2000,28,Full-time employee,Unlimited contract,German,101-1000,Product,No,0.0,
36.0,male,berlin,Software Development,17.0,2.0,Lead,,"Python, C/C++, Javascript / Typescript, SQL, Go, AWS, Docker",70000.0,,65000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
38.0,male,berlin,Management & Leadership,18.0,4.0,Lead,ios,"Swift, AWS",80000.0,4000,80000.0,2000,28,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
24.0,male,berlin,Operations & Support,6.0,3.0,Senior,kubernetes,"Python, AWS, Google Cloud, Kubernetes, Docker",75000.0,10000,63000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
37.0,male,berlin,Operations & Support,6.0,6.0,Middle,charles,,47400.0,1000,44000.0,1000,28,Full-time employee,Unlimited contract,German,1000+,Media,No,,
,male,berlin,Operations & Support,14.0,5.0,Senior,,"Python, Go, AWS, Kubernetes, Docker",67000.0,7000,65000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
40.0,male,berlin,Management & Leadership,13.0,1.0,Senior,sql,Python,70000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,200
29.0,male,berlin,Software Development,6.0,4.0,Lead,go,"Python, Go, AWS, Kubernetes, Docker",85000.0,5000,78000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1100
31.0,male,berlin,Software Development,5.0,1.0,Middle,,Kotlin,65000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
29.0,female,berlin,Operations & Support,7.0,1.0,Middle,,Javascript / Typescript,45000.0,2000,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
39.0,male,berlin,Software Development,8.0,5.0,Senior,,"Python, Java / Scala, SQL, AWS, Google Cloud, Kubernetes, Docker",80000.0,,80000.0,,29,Full-time employee,Unlimited contract,English,51-100,Startup,No,30.0,
27.0,male,berlin,Software Development,8.0,1.0,Middle,,,63000.0,101,,,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
33.0,male,berlin,Data & AI,5.0,4.0,Lead,python,"Python, R, Google Cloud, Docker",150000.0,80000,81000.0,4000,24,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,1
28.0,female,berlin,Other Roles,7.0,7.0,Middle,figma,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
30.0,male,berlin,Software Development,8.0,3.0,Senior,,"Python, Javascript / Typescript, Java / Scala, Go, Kubernetes, Docker",80000.0,,72000.0,3500,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
28.0,male,berlin,Software Development,5.0,1.0,Senior,,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",75000.0,,58000.0,,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No,0.0,
38.0,male,berlin,Operations & Support,10.0,5.0,Senior,,"AWS, Kubernetes, Docker",70000.0,,65000.0,,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,0.0,
29.0,male,berlin,Software Development,7.0,2.0,Senior,react,Javascript / Typescript,72000.0,12000,63000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
49.0,male,berlin,Software Development,15.0,15.0,Senior,,SQL,67000.0,1500,66000.0,,29,Full-time employee,Unlimited contract,German,1000+,Product,No,,
32.0,male,berlin,Software Development,10.0,5.0,Senior,,"AWS, Kubernetes",105000.0,,80000.0,,60,Self-employed (freelancer),Temporary contract,English,101-1000,Product,Yes,,5000
33.0,female,berlin,Software Development,12.0,5.0,Senior,,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000.0,35200,96000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
30.0,male,berlin,Software Development,6.0,3.0,Senior,,"Kotlin, AWS, Kubernetes, Docker",74000.0,15000,54000.0,54000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
48.0,male,berlin,Software Development,25.0,11.0,Senior,,"Kotlin, Java / Scala, SQL",75000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
28.0,female,berlin,Other Roles,5.0,1.0,Senior,,,60000.0,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,
