Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
2020-11-24 11:14:15,26,Male,munich,Software Development,5.0,3.0,Senior,typescript,"Kotlin, Javascript / Typescript",80000.0,5000.0,75000.0,10000.0,30.0,Full-time employee,Unlimited contract,English,51-100,Product,no,,
2020-11-24 11:14:16,26,Male,berlin,Software Development,7.0,4.0,Senior,ruby,,80000.0,0.0,82000.0,5000.0,28.0,Full-time employee,Unlimited contract,English,101-1000,Product,no,,
2020-11-24 11:14:21,29,Male,berlin,Software Development,12.0,6.0,Lead,javascript,"Javascript / Typescript, Docker",120000.0,120000.0,100000.0,100000.0,30.0,Self-employed (freelancer),Temporary contract,English,101-1000,Product,yes,,
2020-11-24 11:15:24,28,Male,berlin,Software Development,4.0,1.0,Junior,,,54000.0,0.0,,0.0,24.0,Full-time employee,Unlimited contract,English,51-100,Startup,no,,
2020-11-24 11:15:46,37,Male,berlin,Software Development,17.0,6.0,Senior,c#,".NET, SQL, AWS, Docker",62000.0,0.0,62000.0,0.0,29.0,Full-time employee,Unlimited contract,English,101-1000,Product,no,,
2020-11-24 11:15:53,32,Male,berlin,Operations & Support,5.0,1.0,Senior,aws,"Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000.0,76000.0,5000.0,30.0,Full-time employee,Unlimited contract,English,11-50,Startup,no,,
2020-11-24 11:16:35,37,Male,berlin,Software Development,6.0,0.4,Other,,,57000.0,0.0,,0.0,24.0,Full-time employee,Unlimited contract,English,11-50,Product,no,,
2020-11-24 11:16:44,24,Male,berlin,Software Development,5.0,1.0,Senior,,Javascript / Typescript,65000.0,0.0,65000.0,0.0,27.0,Full-time employee,Unlimited contract,English,1000,Product,no,0.0,600.0
2020-11-24 11:17:24,29,Male,berlin,Software Development,8.0,2.0,Senior,php,"SQL, AWS, Docker",56000.0,0.0,55000.0,0.0,28.0,Full-time employee,Unlimited contract,English,101-1000,Product,no,30.0,
2020-11-24 11:17:50,35,Male,berlin,Software Development,15.0,3.0,Lead,java,,95000.0,0.0,90000.0,0.0,30.0,Full-time employee,Unlimited contract,English,101-1000,Product,no,0.0,
2020-11-24 11:18:06,32,Female,hamburg,Data & AI,2.0,2.0,Junior,,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,0.0,52500.0,0.0,30.0,Full-time employee,Unlimited contract,German,101-1000,Consulting,no,,
2020-11-24 11:18:26,34,Male,berlin,Software Development,14.0,5.0,Senior,,"PHP, Javascript / Typescript, AWS",70000.0,0.0,,0.0,28.0,Full-time employee,Unlimited contract,English,11-50,Startup,no,0.0,
2020-11-24 11:18:40,28,Male,berlin,Other Roles,11.0,2.0,Senior,,,75000.0,9400.0,66000.0,0.0,30.0,Full-time employee,Unlimited contract,English,1000,Product,yes,,
2020-11-24 11:18:41,31,Male,wolfsburg,Software Development,5.0,1.0,Senior,kotlin,,75000.0,2000.0,75000.0,2000.0,25.0,Full-time employee,Unlimited contract,English,101-1000,Consulting,no,,
